ticker,volume,volume_weighted_avg_price,open_price,close_price,highest_price,lowest_price,um_timestamp,transactions,market_close,market
CCIR,51692.0,10.0058,10.04,10.02,10.04,10.0,1734123600000,29.0,2024-12-13,NYSE
NLSPW,51028.0,0.008472,0.008,0.008,0.0118,0.008,1734123600000,31.0,2024-12-13,NYSE
CPNJ,27192.0,24.9901,24.99,24.995,24.995,24.99,1734123600000,12.0,2024-12-13,NYSE
CEFD,1687.0,20.2694,20.24,20.2474,20.34,20.19,1734123600000,16.0,2024-12-13,NYSE
FMAY,8456.0,47.9685,47.98,47.9868,48.0599,47.9315,1734123600000,53.0,2024-12-13,NYSE
BCDA,11723.0,2.0796,2.1326,2.08,2.135,2.0,1734123600000,171.0,2024-12-13,NYSE
PTHL,166448.0,4.1785,4.22,4.0,4.52,3.9,1734123600000,6729.0,2024-12-13,NYSE
TRTXpC,45278.0,18.3553,18.41,18.7,18.7,18.075,1734123600000,299.0,2024-12-13,NYSE
AVGV,4211.0,63.9181,64.01,63.9111,64.01,63.84,1734123600000,101.0,2024-12-13,NYSE
HART,187.0,31.3809,31.36,31.4305,31.4305,31.36,1734123600000,5.0,2024-12-13,NYSE
JVSA,5012.0,10.4198,10.42,10.42,10.42,10.42,1734123600000,16.0,2024-12-13,NYSE
PSFF,65638.0,29.4921,29.57,29.55,29.58,29.39,1734123600000,121.0,2024-12-13,NYSE
SOPA,10961.0,0.875,0.91,0.862,0.91,0.8501,1734123600000,143.0,2024-12-13,NYSE
GNLpD,13290.0,23.2552,23.25,23.305,23.305,23.2499,1734123600000,115.0,2024-12-13,NYSE
IBIC,3686.0,25.6332,25.6384,25.635,25.64,25.63,1734123600000,23.0,2024-12-13,NYSE
CUB,65715.0,10.0639,10.06,10.07,10.07,10.06,1734123600000,66.0,2024-12-13,NYSE
BGM,7560.0,8.7084,8.4614,8.6,8.8,8.4614,1734123600000,528.0,2024-12-13,NYSE
CMLS,8341.0,0.7758,0.785,0.78,0.785,0.761,1734123600000,72.0,2024-12-13,NYSE
MGLD,9762.0,1.4515,1.45,1.5,1.55,1.39,1734123600000,243.0,2024-12-13,NYSE
EFOI,14822.0,1.3608,1.4467,1.37,1.46,1.26,1734123600000,147.0,2024-12-13,NYSE
MATH,18650.0,1.0106,1.02,1.0,1.02,1.0,1734123600000,338.0,2024-12-13,NYSE
